,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,120,156,0,17,89,7,12,15,10,4,3,63,46,336,350,1,1,127,160,0,0,0
1,80,158,4,215,144,11,23,0,12,4,13,97,45,120,151,10,9,49,164,0,0,0
2,266,275,0,69,72,10,18,10,10,10,17,46,49,314,347,6,4,263,271,0,2,0
3,235,293,0,84,113,12,25,10,12,15,18,48,40,288,276,6,1,236,288,0,0,0
4,215,266,0,215,144,6,19,14,3,3,15,62,66,308,277,10,9,258,253,0,4,0
5,226,286,0,101,56,3,31,1,12,6,7,58,85,125,82,8,7,217,212,0,39,1
6,167,252,0,42,105,9,15,1,5,8,7,51,28,283,266,3,4,191,257,0,2,0
7,256,289,23,215,144,10,18,14,8,3,11,76,63,237,237,10,9,260,267,1,2,0
8,305,314,0,102,108,0,27,2,0,18,22,51,47,314,308,4,2,310,306,0,0,0
9,154,242,12,40,125,11,18,10,10,10,10,60,40,336,349,1,2,200,248,1,0,0
10,156,222,0,27,95,8,6,14,10,1,6,93,43,347,336,5,2,151,227,0,0,0
11,233,293,9,48,17,15,31,14,13,8,20,37,95,144,212,8,8,297,191,0,80,1
12,198,230,12,140,144,8,9,10,5,6,1,75,57,364,370,10,9,188,225,1,0,0
13,190,222,0,42,69,0,16,7,0,7,16,70,56,206,191,5,6,191,210,0,0,0
14,201,211,0,44,113,8,16,10,9,8,11,55,50,329,347,6,2,185,216,0,0,0
15,176,193,43,215,144,13,14,10,7,3,8,91,86,120,128,10,9,183,186,1,42,1
16,332,349,0,215,109,6,15,0,3,5,13,63,52,238,214,4,4,339,352,0,0,0
17,366,468,0,215,144,16,64,16,16,39,39,99,100,508,503,10,9,399,468,0,0,0
18,179,244,0,48,125,8,15,10,2,3,7,66,48,304,300,1,1,206,251,0,0,0
19,159,228,0,67,91,4,21,4,5,10,9,47,41,334,314,4,7,195,233,0,4,0
21,207,205,111,215,144,10,29,9,8,17,12,73,82,332,342,10,9,195,183,1,69,1
22,318,345,0,69,80,0,22,2,0,17,12,64,54,224,213,4,7,315,349,0,0,0
23,213,224,31,215,144,3,27,1,3,7,20,72,66,155,185,10,9,246,201,1,23,1
24,272,313,0,67,144,5,27,6,4,15,19,52,59,508,211,6,3,292,298,0,0,0
25,257,350,0,75,135,10,24,3,1,10,5,61,31,197,200,4,5,294,351,0,270,1
26,112,156,0,215,144,13,27,7,13,5,9,82,80,508,503,10,9,136,148,0,0,0
28,109,173,0,19,69,14,21,13,13,9,17,67,49,374,369,4,4,167,179,0,0,0
29,212,395,0,106,130,15,22,5,15,15,15,9,16,203,192,2,1,359,345,0,0,0
30,232,385,0,90,96,14,26,6,14,12,16,21,13,222,208,6,7,341,387,0,9,0
