,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,5.1,14.3,0.0,1.8,8.9,7,30.0,15,10,7.0,6.0,65.0,47.0,1023.1,1022.2,1.0,1.0,9.1,13.3,0,0.0,0
1,1.1,14.5,0.4,,,11,50.0,0,12,7.0,24.0,99.0,46.0,1001.5,1002.4,,,1.3,13.7,0,0.0,0
2,19.7,26.2,0.0,7.2,7.2,10,41.0,10,10,19.0,31.0,48.0,50.0,1020.9,1021.9,6.0,4.0,22.7,24.4,0,0.2,0
3,16.6,28.0,0.0,9.0,11.3,12,54.0,10,12,28.0,33.0,50.0,41.0,1018.3,1014.9,6.0,1.0,20.0,26.1,0,0.0,0
4,14.6,25.3,0.0,,,6,43.0,14,3,6.0,28.0,64.0,67.0,1020.3,1015.0,,,22.2,22.6,0,0.4,0
5,15.7,27.3,0.0,11.2,5.6,3,65.0,1,12,11.0,13.0,60.0,86.0,1002.0,995.5,8.0,7.0,18.1,18.5,0,5.6,1
6,9.8,23.9,0.0,4.4,10.5,9,35.0,1,5,15.0,13.0,53.0,29.0,1017.8,1013.9,3.0,4.0,15.5,23.0,0,0.2,0
7,18.7,27.6,3.0,,,10,41.0,14,8,6.0,20.0,78.0,64.0,1013.2,1011.0,,,22.4,24.0,1,0.2,0
8,23.6,30.1,0.0,11.4,10.8,0,57.0,2,0,33.0,41.0,53.0,48.0,1020.9,1018.0,4.0,2.0,27.4,27.9,0,0.0,0
9,8.5,22.9,1.4,4.2,12.5,11,41.0,10,10,19.0,19.0,62.0,41.0,1023.1,1022.1,1.0,2.0,16.4,22.1,1,0.0,0
